,Model,Precision,Recall,F1
13,Random Forest - downsample100to1,0.5740740740740741,0.9393939393939394,0.7126436781609197
7,Extra Trees - downsample100to1,0.5740740740740741,0.9393939393939394,0.7126436781609197
1,LGBM-downsample100to1,0.5172413793103449,0.9090909090909091,0.6593406593406593
14,Random Forest - downsample50to1,0.4696969696969697,0.9393939393939394,0.6262626262626263
8,Extra Trees - downsample50to1,0.4696969696969697,0.9393939393939394,0.6262626262626263
2,LGBM-downsample50to1,0.46774193548387094,0.8787878787878788,0.6105263157894737
9,Extra Trees - downsample10to1,0.2894736842105263,1.0,0.4489795918367347
15,Random Forest - downsample10to1,0.2894736842105263,1.0,0.4489795918367347
3,LGBM-downsample10to1,0.2711864406779661,0.9696969696969697,0.423841059602649
12,Random Forest - Full Train Sample,0.2916666666666667,0.42424242424242425,0.345679012345679
0,LGBM - Full Train Sample,0.2916666666666667,0.42424242424242425,0.345679012345679
6,Extra Trees - Full Train Sample,0.2916666666666667,0.42424242424242425,0.345679012345679
4,LGBM-downsample5to1,0.1793478260869565,1.0,0.304147465437788
10,Extra Trees - downsample5to1,0.1751412429378531,0.9393939393939394,0.29523809523809524
16,Random Forest - downsample5to1,0.1751412429378531,0.9393939393939394,0.29523809523809524
11,Extra Trees - downsample2to1,0.15942028985507245,1.0,0.27499999999999997
17,Random Forest - downsample2to1,0.15942028985507245,1.0,0.27499999999999997
5,LGBM-downsample2to1,0.12598425196850394,0.9696969696969697,0.2229965156794425
