,Unnamed: 0,Model,Sample,Precision,Recall,F1,Sample Ratio
0,0,Random Forest,Downsample 100 to 1,0.2854187192118226,0.8194444444444444,0.4218050502600587,100.0
1,1,Extra Trees,Full Train Sample,0.4634920634920635,0.3611111111111111,0.4006349206349206,165.0
2,2,Random Forest,Full Train Sample,0.4857142857142856,0.3416666666666667,0.4002747252747253,165.0
3,3,Extra Trees,Downsample 100 to 1,0.2562924901185771,0.7944444444444445,0.3860206676886456,100.0
4,4,LGBM,Downsample 100 to 1,0.2336370130420473,0.7055555555555555,0.3492575524833589,100.0
5,5,Random Forest,Downsample 50 to 1,0.209109655824052,0.8638888888888889,0.3362429582550917,50.0
6,6,Extra Trees,Downsample 50 to 1,0.1957736757736758,0.8416666666666666,0.3158789691670501,50.0
7,7,LGBM,Downsample 50 to 1,0.1483786848072562,0.75,0.2454213966288269,50.0
8,8,Extra Trees,Downsample 20 to 1,0.114742592177937,0.8861111111111111,0.2030378250652223,20.0
9,9,Random Forest,Downsample 20 to 1,0.1137075672616351,0.9083333333333332,0.2011603114724097,20.0
10,10,LGBM,Downsample 20 to 1,0.0945672445635795,0.8638888888888889,0.1688383910845259,20.0
11,11,Extra Trees,Downsample 10 to 1,0.0791545925006196,0.9083333333333332,0.1451970775996562,10.0
12,12,Random Forest,Downsample 10 to 1,0.0746033580829829,0.9527777777777778,0.138140711183613,10.0
13,13,LGBM,Downsample 10 to 1,0.0645713527693163,0.8861111111111111,0.1195520547287173,10.0
14,14,Extra Trees,Downsample 5 to 1,0.0608718592345566,0.9305555555555556,0.1140692002929585,5.0
15,15,Random Forest,Downsample 5 to 1,0.0535905318747524,0.9527777777777778,0.1011191252867349,5.0
16,16,LGBM,Full Train Sample,0.0510809190961737,0.2861111111111111,0.077368251401637,165.0
17,17,LGBM,Downsample 5 to 1,0.0358841058477948,0.8638888888888889,0.0686463073721612,5.0
18,18,Extra Trees,Downsample 2 to 1,0.0342254806884837,0.9527777777777778,0.0659334727583177,2.0
19,19,Random Forest,Downsample 2 to 1,0.0306444736171189,0.975,0.0593676713513902,2.0
20,20,LGBM,Downsample 2 to 1,0.0264938943084118,0.9527777777777778,0.0513826326009655,2.0
